CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-01-03 00:00,degC,19.2,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-01-04 00:00,degC,20.8,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-01-05 00:00,degC,21,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-01-06 00:00,degC,20.4,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-01-07 00:00,degC,21.6,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-01-08 00:00,degC,20,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-01-09 00:00,degC,20,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-01-11 00:00,degC,21,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-01-12 00:00,degC,22,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-01-13 00:00,degC,22.2,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-01-14 00:00,degC,21.4,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-01-15 00:00,degC,19.4,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-01-16 00:00,degC,19.4,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-01-17 00:00,degC,19.2,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-01-18 00:00,degC,19.4,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-01-19 00:00,degC,19.6,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-01-20 00:00,degC,20,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-01-21 00:00,degC,19,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-01-22 00:00,degC,18.8,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-01-23 00:00,degC,21,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-01-24 00:00,degC,20.6,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-01-25 00:00,degC,19,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-01-26 00:00,degC,20.8,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-01-27 00:00,degC,22.4,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-01-28 00:00,degC,21.6,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-01-29 00:00,degC,20.4,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-01-30 00:00,degC,21,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-01-31 00:00,degC,21.4,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-02-01 00:00,degC,20.4,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-02-02 00:00,degC,19.8,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-02-03 00:00,degC,20.2,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-02-04 00:00,degC,18.6,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-02-05 00:00,degC,20.4,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-02-06 00:00,degC,18.8,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-02-07 00:00,degC,20.8,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-02-08 00:00,degC,19,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-02-09 00:00,degC,21,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-02-10 00:00,degC,18,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-02-11 00:00,degC,20,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-02-12 00:00,degC,16,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-02-14 00:00,degC,21.2,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-02-15 00:00,degC,20,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-02-16 00:00,degC,20,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-02-17 00:00,degC,20.4,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-02-18 00:00,degC,21,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-02-19 00:00,degC,20,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-02-20 00:00,degC,21.2,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-02-21 00:00,degC,21.2,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-02-22 00:00,degC,21,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-02-23 00:00,degC,22,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-02-24 00:00,degC,20.4,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-02-25 00:00,degC,23,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-02-26 00:00,degC,23,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-02-27 00:00,degC,22,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-02-28 00:00,degC,21.8,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-03-01 00:00,degC,20.8,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-03-02 00:00,degC,21.6,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-03-03 00:00,degC,19.4,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-03-04 00:00,degC,22,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-03-05 00:00,degC,25,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-03-06 00:00,degC,20.6,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-03-07 00:00,degC,19.4,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-03-08 00:00,degC,20.2,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-03-10 00:00,degC,21,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-03-11 00:00,degC,22,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-03-12 00:00,degC,23,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-03-13 00:00,degC,24,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-03-14 00:00,degC,22.4,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-03-15 00:00,degC,21.8,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-03-16 00:00,degC,21.8,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-03-17 00:00,degC,20.2,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-03-18 00:00,degC,19.6,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-03-19 00:00,degC,22,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-03-20 00:00,degC,22,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-03-23 00:00,degC,20.2,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-03-25 00:00,degC,21.8,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-03-27 00:00,degC,21.2,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-03-28 00:00,degC,21,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-03-29 00:00,degC,22,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-03-30 00:00,degC,21.4,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-03-31 00:00,degC,21,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-04-01 00:00,degC,21.8,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-04-02 00:00,degC,20.8,Definitivo
21205420,TIBAITATA [21205420],TEMPERATURA,Temperatura máxima diaria,2005-04-03 00:00,degC,19.6,Definitivo
